test_id,num_points,grid_size,cockayne_steiner,geosteiner_steiner,flute_steiner,cockayne_wirelength,geosteiner_wirelength,flute_wirelength,cockayne_time,geosteiner_time,flute_time
1,10,8418,8,7,8,20418,20418,20418,0.033949,0.000713,0.000143
2,10,8617,8,8,8,25540,25540,25688,0.027912,0.000271,1.1e-05
3,10,7053,8,8,8,19703,19703,19703,0.032035,0.000216,7e-06
4,10,9874,8,8,8,26659,26659,26659,0.035991,0.000248,9e-06
5,10,8681,8,8,8,22817,22817,22817,0.021993,0.000184,1e-06
6,10,8566,8,8,8,24285,24285,24285,0.025211,9.8e-05,6e-06
7,10,9014,8,8,8,21260,21260,21260,0.019883,0.000244,7e-06
8,10,7981,8,7,8,22287,22287,22287,0.036089,0.000199,7e-06
9,10,9218,8,8,8,18225,18225,18225,0.023488,0.000109,5e-06
10,10,9041,8,8,8,26028,26028,26028,0.026799,0.000105,6e-06
11,10,9402,8,8,8,29119,29119,29119,0.022966,0.000224,6e-06
12,10,8857,8,8,8,20281,20281,20281,0.021598,0.000145,2e-06
13,10,8300,8,8,8,23933,23933,23933,0.029918,0.00025,6e-06
14,10,8628,8,8,8,23439,23439,23439,0.033926,0.00024,6e-06
15,10,9545,8,8,8,25883,25883,25883,0.023224,0.000143,5e-06
16,10,8566,8,8,8,22815,22815,22815,0.020213,0.000145,9e-06
17,10,8789,8,8,8,24992,24992,24992,0.027551,0.000157,7e-06
18,10,8325,8,8,8,24538,24538,24538,0.027931,0.000158,6e-06
19,10,9004,8,8,8,20347,20347,20347,0.029252,0.000178,6e-06
20,10,9015,8,8,8,25248,25248,25248,0.03218,0.000172,5e-06
21,10,8509,8,8,8,20945,20945,20945,0.031624,0.000431,6e-06
22,10,8710,7,7,8,22635,22635,22635,0.023659,9.7e-05,2e-06
23,10,8227,8,8,8,25140,25140,25140,0.03635,0.000248,6e-06
24,10,8690,8,8,8,22992,22992,22992,0.035198,0.000165,6e-06
25,10,8680,8,8,8,23155,23155,23155,0.043191,0.000374,2.8e-05
26,10,8211,8,8,8,20832,20832,20832,0.027256,0.000197,7e-06
27,10,8852,8,8,8,24761,24761,24761,0.0368,0.000363,7e-06
28,10,9503,8,8,8,25049,25049,25049,0.019734,0.000169,6e-06
29,10,8472,8,8,8,23547,23547,23547,0.037503,0.000196,8e-06
30,10,8122,8,8,8,16495,16495,16495,0.03817,0.000221,6e-06
31,10,8786,8,8,8,20149,20149,20149,0.034951,0.000249,7e-06
32,10,9141,8,8,8,23186,23186,23186,0.035234,0.000357,6e-06
33,10,9186,8,8,8,21296,21296,21296,0.046011,0.000191,6e-06
34,10,9500,8,8,8,25219,25219,25219,0.038995,0.000223,7e-06
35,10,9457,8,8,8,22765,22765,22942,0.025344,0.000188,6e-06
36,10,9336,8,7,8,26610,26610,26610,0.033247,0.000142,5e-06
37,10,8023,8,8,8,23429,23429,23429,0.024011,0.000173,6e-06
38,10,9148,8,8,8,23319,23319,23479,0.035162,0.000158,5e-06
39,10,8633,8,8,8,21409,21409,21409,0.030165,0.000188,2e-06
40,10,9108,8,8,8,26952,26952,26952,0.025721,0.000174,1e-05
41,10,9445,8,8,8,23160,23160,23160,0.031659,0.00015,6e-06
42,10,8997,8,8,8,20082,20082,20082,0.024745,0.000166,5e-06
43,10,9427,8,8,8,21273,21273,21273,0.038408,0.000107,8e-06
44,10,8190,8,8,8,20408,20408,20408,0.034019,0.000129,7e-06
45,10,9460,8,8,8,23594,23594,23594,0.02831,0.000142,6e-06
46,10,9322,8,8,8,23427,23427,23427,0.025941,0.000118,6e-06
47,10,9266,8,8,8,25271,25271,25271,0.019106,0.00015,5e-06
48,10,8061,8,8,8,23482,23482,23482,0.02951,0.0002,6e-06
49,10,8595,8,8,8,21546,21546,21546,0.042293,0.000243,8e-06
50,10,9638,8,8,8,24201,24201,24201,0.025467,0.000125,6e-06
51,10,8715,8,8,8,21991,21991,21991,0.026306,0.000238,5e-06
52,10,8209,8,8,8,17878,17878,17878,0.020574,0.000221,6e-06
53,10,6417,8,8,8,14861,14861,14861,0.0331,0.00021,6e-06
54,10,7555,8,8,8,15129,15129,15129,0.016805,0.000176,2e-06
55,10,9257,8,8,8,23492,23492,23492,0.022854,0.000171,2e-06
56,10,9337,8,8,8,27615,27615,27615,0.031766,0.000191,5e-06
57,10,9677,8,8,8,27414,27414,27414,0.026255,0.000141,6e-06
58,10,8444,8,8,8,23609,23609,23609,0.037247,0.000259,6e-06
59,10,9183,8,8,8,23606,23606,23606,0.029884,0.000121,6e-06
60,10,9672,8,8,8,21360,21360,21360,0.030611,0.000179,6e-06
61,10,9923,7,7,8,24983,24983,24983,0.022346,0.000139,3e-06
62,10,8359,8,8,8,24720,24720,24720,0.034396,0.000323,6e-06
63,10,8974,8,8,8,23459,23459,23459,0.026522,0.000164,6e-06
64,10,7801,8,8,8,21737,21737,21737,0.027553,0.000158,6e-06
65,10,7345,8,8,8,21508,21508,21639,0.029366,0.000119,6e-06
66,10,8765,8,8,8,24817,24817,24817,0.029284,0.000231,6e-06
67,10,9540,8,8,8,24878,24878,24878,0.025172,0.000184,5e-06
68,10,9522,8,8,8,23797,23797,23797,0.03898,0.00017,5e-06
69,10,7546,8,8,8,20344,20344,20344,0.02989,0.00018,4e-06
70,10,8865,8,8,8,22202,22202,22202,0.025649,0.000322,5e-06
71,10,8116,8,8,8,24290,24290,24290,0.028666,0.000235,5e-06
72,10,9849,8,7,8,26881,26881,26881,0.033423,0.000159,5e-06
73,10,8895,8,8,8,22429,22429,22429,0.039552,0.00013,6e-06
74,10,9391,8,8,8,27428,27428,27428,0.027452,0.000182,6e-06
75,10,9517,8,7,8,27028,27028,27028,0.032445,0.000165,5e-06
76,10,8778,8,8,8,24149,24149,24149,0.031422,0.000181,5e-06
77,10,9200,8,8,8,26241,26241,26241,0.022793,0.000395,2e-06
78,10,8324,8,8,8,21014,21014,21014,0.031955,0.000137,5e-06
79,10,8420,8,8,8,19836,19836,19836,0.01954,0.000115,4e-06
80,10,6327,8,8,8,17622,17622,17622,0.02382,0.000182,7e-06
81,10,9394,8,8,8,25117,25117,25117,0.030041,0.000127,5e-06
82,10,9494,8,8,8,22454,22454,22454,0.025672,0.000144,4e-06
83,10,8201,8,8,8,24278,24278,24278,0.021564,0.000122,5e-06
84,10,7899,8,8,8,24923,24923,24923,0.027995,0.000264,6e-06
85,10,9614,8,8,8,24934,24934,24934,0.037453,0.000119,5e-06
86,10,9247,8,8,8,25907,25907,25907,0.028201,0.000138,5e-06
87,10,9293,8,8,8,23346,23346,23346,0.025695,0.000205,4e-06
88,10,8767,8,8,8,23366,23366,23366,0.034279,0.000289,5e-06
89,10,9284,8,8,8,28099,28099,28099,0.026485,0.000127,6e-06
90,10,9210,8,8,8,23220,23220,23220,0.023692,0.000187,5e-06
91,10,9064,8,8,8,21183,21183,21183,0.034473,0.000145,5e-06
92,10,8672,8,8,8,23934,23934,23934,0.030597,0.000147,5e-06
93,10,8763,8,8,8,18076,18076,18076,0.024126,0.00033,5e-06
94,10,7637,8,8,8,20536,20536,20536,0.026172,0.000122,5e-06
95,10,8379,8,8,8,21760,21760,21760,0.023637,0.000115,4e-06
96,10,7857,9,8,8,26354,26354,26354,0.036389,0.00024,5e-06
97,10,8056,8,8,8,23999,23999,23999,0.026292,0.000163,5e-06
98,10,8580,8,8,8,23587,23587,23587,0.028267,0.000276,6e-06
99,10,9079,8,8,8,25441,25441,25441,0.024336,0.000222,5e-06
100,10,9083,8,8,8,26707,26707,26707,0.027687,0.00016,4e-06
101,10,7865,8,8,8,19474,19474,19474,0.030291,0.00011,4e-06
102,10,8088,8,8,8,18925,18925,18925,0.028725,0.000148,6e-06
103,10,9003,8,8,8,21489,21489,21489,0.020956,0.000264,2e-06
104,10,8245,8,8,8,20333,20333,20333,0.035359,0.000202,5e-06
105,10,9791,8,8,8,26284,26284,26284,0.022791,0.00011,5e-06
106,10,7898,8,8,8,20934,20934,20934,0.020525,8.9e-05,5e-06
107,10,8575,8,8,8,20744,20744,20744,0.022698,0.000134,4e-06
108,10,8877,8,8,8,24317,24317,24317,0.031634,0.000199,5e-06
109,10,9291,8,8,8,31511,31511,31511,0.030554,0.000268,5e-06
110,10,8754,7,7,8,18471,18471,18471,0.020914,0.000106,4e-06
111,10,8635,8,8,8,23412,23412,23412,0.022064,8.8e-05,4e-06
112,10,9248,8,8,8,25908,25908,25908,0.032414,0.000241,6e-06
113,10,9397,8,8,8,23677,23677,23677,0.035301,0.00018,5e-06
114,10,8250,8,8,8,21784,21784,21784,0.044607,0.00023,6e-06
115,10,9401,7,7,8,23853,23853,23853,0.031906,0.00013,5e-06
116,10,8299,8,8,8,18533,18533,18533,0.022237,0.000137,3e-06
117,10,9427,8,8,8,23121,23121,23121,0.021515,0.00015,1e-06
118,10,8454,8,8,8,20765,20765,20765,0.028539,0.000146,5e-06
119,10,8226,8,8,8,22436,22436,22436,0.026112,0.000103,5e-06
120,10,7480,9,8,8,19890,19890,19890,0.035248,0.000107,8e-06
121,10,9377,8,8,8,19171,19171,19171,0.031326,0.000102,6e-06
122,10,7649,8,8,8,20405,20405,20405,0.028285,0.000185,5e-06
123,10,8435,8,8,8,24407,24407,24407,0.022202,0.000114,5e-06
124,10,8536,8,8,8,24391,24391,24464,0.026034,0.000132,6e-06
125,10,9611,8,8,8,24433,24433,24433,0.028138,0.000162,5e-06
126,10,9659,8,8,8,23287,23287,23287,0.033864,0.000265,6e-06
127,10,8354,8,8,8,21728,21728,21728,0.031254,0.000155,5e-06
128,10,9079,8,8,8,24271,24271,24271,0.038526,0.000236,5e-06
129,10,9337,9,8,8,25260,25260,25260,0.031375,0.0002,5e-06
130,10,8607,8,8,8,24014,24014,24014,0.028551,0.000214,6e-06
131,10,8591,8,8,8,20824,20824,20824,0.023901,0.000178,2e-06
132,10,9566,8,8,8,26086,26086,26086,0.031378,0.000124,5e-06
133,10,9004,8,8,8,24934,24934,24934,0.025213,0.000159,5e-06
134,10,9022,8,8,8,27267,27267,27267,0.030202,0.000211,8e-06
135,10,7664,8,8,8,21918,21918,21918,0.035947,0.000167,6e-06
136,10,9215,8,8,8,25038,25038,25038,0.024967,0.000242,5e-06
137,10,8649,8,8,8,21591,21591,21591,0.028731,0.000166,4e-06
138,10,7579,8,8,8,19760,19760,19760,0.019871,0.000122,2e-06
139,10,9115,8,8,8,27254,27254,27254,0.026504,0.000169,5e-06
140,10,8946,8,8,8,19316,19316,19316,0.027641,0.000178,5e-06
141,10,7555,8,8,8,21684,21684,21684,0.030568,0.000124,5e-06
142,10,8672,8,8,8,22933,22933,22933,0.028427,0.000174,4e-06
143,10,8596,8,8,8,22016,22016,22016,0.031121,0.000202,4e-06
144,10,8416,8,8,8,19591,19591,19591,0.021646,0.000224,5e-06
145,10,9428,8,8,8,24743,24743,24743,0.028355,0.000169,5e-06
146,10,9467,8,8,8,21511,21511,21511,0.021506,0.000103,5e-06
147,10,9038,8,8,8,22735,22735,22735,0.040031,0.000206,5e-06
148,10,9112,8,8,8,22659,22659,22659,0.029542,0.000139,6e-06
149,10,8735,8,8,8,22919,22919,22919,0.022729,0.000189,1e-06
150,10,7353,8,8,8,22803,22803,22803,0.0262,0.000173,5e-06
151,10,9251,8,8,8,19527,19527,19527,0.025607,0.000113,4e-06
152,10,8425,8,8,8,20170,20170,20170,0.034699,0.000156,4e-06
153,10,8392,8,8,8,24750,24750,24750,0.023576,0.000199,6e-06
154,10,8753,8,8,8,26910,26910,26910,0.02622,0.00012,5e-06
155,10,8008,8,8,8,19681,19681,19681,0.02239,0.000183,2e-06
156,10,9227,8,8,8,22778,22778,22778,0.031366,0.00013,4e-06
